Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Shrek 2,"$928,760,770","$441,226,247",47.5%,"$487,534,523",52.5%
2,Harry Potter and the Prisoner of Azkaban,"$795,634,069","$249,541,069",31.4%,"$546,093,000",68.6%
3,Spider-Man 2,"$788,976,453","$373,585,825",47.4%,"$415,390,628",52.6%
4,The Incredibles,"$631,442,092","$261,441,092",41.4%,"$370,001,000",58.6%
5,The Passion of the Christ,"$611,486,736","$370,274,604",60.6%,"$241,212,132",39.4%
6,The Day After Tomorrow,"$552,639,571","$186,740,799",33.8%,"$365,898,772",66.2%
7,Meet the Fockers,"$522,657,936","$279,261,160",53.4%,"$243,396,776",46.6%
8,Troy,"$497,409,852","$133,378,256",26.8%,"$364,031,596",73.2%
9,Shark Tale,"$374,583,879","$160,861,908",42.9%,"$213,721,971",57.1%
10,Ocean's Twelve,"$362,744,280","$125,544,280",34.6%,"$237,200,000",65.4%
11,"I, Robot","$353,133,898","$144,801,023",41%,"$208,332,875",59%
12,National Treasure,"$347,512,318","$173,008,894",49.8%,"$174,503,424",50.2%
13,Van Helsing,"$300,157,638","$120,177,084",40%,"$179,980,554",60%
14,The Bourne Supremacy,"$290,633,422","$176,241,941",60.6%,"$114,391,481",39.4%
15,The Polar Express,"$286,000,505","$162,775,358",56.9%,"$123,225,147",43.1%
16,Bridget Jones: The Edge of Reason,"$265,126,918","$40,226,215",15.2%,"$224,900,703",84.8%
17,Howl's Moving Castle,"$235,347,345","$4,711,096",2%,"$230,636,249",98%
18,Fahrenheit 9/11,"$222,446,882","$119,194,771",53.6%,"$103,252,111",46.4%
19,Collateral,"$220,926,695","$101,005,703",45.7%,"$119,920,992",54.3%
20,The Terminal,"$219,100,084","$77,872,883",35.5%,"$141,227,201",64.5%
21,Million Dollar Baby,"$216,763,646","$100,492,203",46.4%,"$116,271,443",53.6%
22,The Aviator,"$213,719,942","$102,610,330",48%,"$111,109,612",52%
23,Lemony Snicket's A Series of Unfortunate Events,"$211,468,235","$118,634,549",56.1%,"$92,833,686",43.9%
24,King Arthur,"$203,567,857","$51,882,244",25.5%,"$151,685,613",74.5%
