url,product_id,category
https://www.amazon.com/Melissa-Doug-Activity-Child-Safe-Scissors/dp/B00EJAEUBC/ref=zg_bs_toys-and-games_15/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B00EJAEUBC,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Munchkin-17040-Fishin-Bath-Toy/dp/B01N52DUNK/ref=zg_bs_toys-and-games_48/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B01N52DUNK,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Play-Doh-Modeling-Compound-Non-Toxic-Exclusive/dp/B00JM5GZGW/ref=zg_bs_toys-and-games_17/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B00JM5GZGW,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Crayola-Washable-Special-Sidewalk-Anti-Roll/dp/B00PY47LHW/ref=zg_bs_toys-and-games_42/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B00PY47LHW,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Bunch-Balloons-Pack-Amazon-Exclusive/dp/B07GW2QQWN/ref=zg_bs_toys-and-games_28/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B07GW2QQWN,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Crayola-Twistables-Classrooms-Preschools-Self-Sharpening/dp/B00062J99K/ref=zg_bs_toys-and-games_8/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B00062J99K,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Melissa-Doug-Decorate-Your-Own-Butterfly-Magnets/dp/B00Y8YOVOA/ref=zg_bs_toys-and-games_12/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B00Y8YOVOA,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Step2-874600-Showers-Playset-Multi-Colored/dp/B01K1K0K6M/ref=zg_bs_toys-and-games_6/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B01K1K0K6M,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Insect-Lore-Butterfly-Growing-Kit/dp/B00000ISC5/ref=zg_bs_toys-and-games_3/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B00000ISC5,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
https://www.amazon.com/Crayola-Outdoor-Glitter-Sidewalk-Summer/dp/B00PY47F8M/ref=zg_bs_toys-and-games_16/132-3105173-9301645?_encoding=UTF8&psc=1&refRID=BZ10YZJJ1T0QC9YT1AR2,B00PY47F8M,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}"
