url,product_id,title,price,timestamp,category,scraped
https://www.amazon.com/First-Years-Stack-Up-Cups/dp/B00005C5H4/ref=zg_bs_toys-and-games_27/135-2413319-0807734?_encoding=UTF8&psc=1&refRID=44NCX6KRMHJ499PBSHPY,B00005C5H4,,,,,
https://www.amazon.com/Crayola-Markers-Assorted-Colors-Coloring/dp/B01C64BASI/ref=zg_bs_toys-and-games_40/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B01C64BASI,"Crayola Fine Line Markers Adult Coloring Set, Gift Age 12+ - 40 Count",$12.99,1587710255.374097,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Crayola-Washable-Sidewalk-Outdoor-Exclusive/dp/B00LH1WN4W/ref=zg_bs_toys-and-games_38/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B00LH1WN4W,,,1587710259.563987,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Crayola-Colored-Pre-sharpened-Coloring-Stocking/dp/B018HB2QFU/ref=zg_bs_toys-and-games_10/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B018HB2QFU,"Crayola Colored Pencils, Adult Coloring, Fun At Home Activities, 50 Count",$19.38,1587710263.896691,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/L-L-Surprise-Candylicious-Multicolor/dp/B07XSQ3BYJ/ref=zg_bs_toys-and-games_47/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B07XSQ3BYJ,"L.O.L. Surprise! O.M.G. Candylicious Fashion Doll with 20 Surprises,Multicolor",$26.88,1587710268.433438,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Melissa-Doug-Pretend-Frustration-Free-Packaging/dp/B07PBXRJ7G/ref=zg_bs_toys-and-games_43/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B07PBXRJ7G,Melissa & Doug Dust! Sweep! Mop! (Frustration Free Packaging),$25.09,1587710272.918818,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Aqua-Monterey-Multi-Purpose-Inflatable-Portable/dp/B073WMYP6M/ref=zg_bs_toys-and-games_26/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B073WMYP6M,"Aqua 4-in-1 Monterey Hammock Inflatable Pool Float, Multi-Purpose Pool Hammock (Saddle, Lounge Chair, Hammock, Drifter) Pool Chair, Portable Water Hammock, Navy/White Stripe",$15.07,1587710277.388575,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Nuby-Floating-Purple-Octopus-Interactive/dp/B083ZZSGLR/ref=zg_bs_toys-and-games_49/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B083ZZSGLR,Nuby Floating Purple Octopus with 3 Hoopla Rings Interactive Bath Toy,$6.89,1587710281.4547448,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Munchkin-17040-Fishin-Bath-Toy/dp/B01N52DUNK/ref=zg_bs_toys-and-games_48/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B01N52DUNK,Munchkin Fishin' Bath Toy,$7.73,1587710285.889804,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/LEGO-Classic-Green-Baseplate-Supplement/dp/B00NHQF65S/ref=zg_bs_toys-and-games_14/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B00NHQF65S,,,1587710289.887776,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Kinetic-Sand-Beach-Kingdom-Playset/dp/B079P87RVB/ref=zg_bs_toys-and-games_41/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B079P87RVB,,,1587710289.896173,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
https://www.amazon.com/Regal-Games-Chalk-City-Washable/dp/B071CKSMS7/ref=zg_bs_toys-and-games_4/132-9403381-7063669?_encoding=UTF8&psc=1&refRID=5WHBE334RDFR5WNNK37N,B071CKSMS7,,,1587710289.903906,"{'name': 'toys-and-games', 'url': 'https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/'}",1.0
