Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Toy Story 3,"$1,066,969,703","$415,004,880",38.9%,"$651,964,823",61.1%
2,Alice in Wonderland,"$1,025,467,110","$334,191,110",32.6%,"$691,276,000",67.4%
3,Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305",30.3%,"$680,553,613",69.7%
4,Inception,"$828,322,032","$292,576,195",35.3%,"$535,745,837",64.7%
5,Shrek Forever After,"$752,600,867","$238,736,787",31.7%,"$513,864,080",68.3%
6,The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",43%,"$397,959,596",57%
7,Iron Man 2,"$623,933,331","$312,433,331",50.1%,"$311,500,000",49.9%
8,Tangled,"$592,461,732","$200,821,936",33.9%,"$391,639,796",66.1%
9,Despicable Me,"$543,113,985","$251,513,985",46.3%,"$291,600,000",53.7%
10,How to Train Your Dragon,"$494,878,759","$217,581,231",44%,"$277,297,528",56%
11,Clash of the Titans,"$493,214,993","$163,214,888",33.1%,"$330,000,105",66.9%
12,The King's Speech,"$423,999,102","$135,453,143",31.9%,"$288,545,959",68.1%
13,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.1%,"$311,299,267",74.9%
14,TRON: Legacy,"$400,062,763","$172,062,763",43%,"$228,000,000",57%
15,The Karate Kid,"$359,126,022","$176,591,618",49.2%,"$182,534,404",50.8%
16,Black Swan,"$329,398,046","$106,954,678",32.5%,"$222,443,368",67.5%
17,Megamind,"$321,885,765","$148,415,853",46.1%,"$173,469,912",53.9%
18,Robin Hood,"$321,669,741","$105,269,730",32.7%,"$216,400,011",67.3%
19,The Last Airbender,"$319,713,881","$131,772,187",41.2%,"$187,941,694",58.8%
20,Little Fockers,"$310,650,585","$148,438,600",47.8%,"$162,211,985",52.2%
21,Resident Evil: Afterlife,"$300,228,084","$60,128,566",20%,"$240,099,518",80%
22,Shutter Island,"$294,804,195","$128,012,934",43.4%,"$166,791,261",56.6%
23,Salt,"$293,503,354","$118,311,368",40.3%,"$175,191,986",59.7%
24,Sex and the City 2,"$290,745,055","$95,347,692",32.8%,"$195,397,363",67.2%
25,The Tourist,"$278,780,441","$67,631,157",24.3%,"$211,149,284",75.7%
26,The Expendables,"$274,470,394","$103,068,524",37.6%,"$171,401,870",62.4%
27,Grown Ups,"$271,430,189","$162,001,186",59.7%,"$109,429,003",40.3%
28,Knight and Day 2010 Re-release,"$261,930,436","$76,423,035",29.2%,"$185,507,401",70.8%
29,True Grit,"$252,276,927","$171,243,005",67.9%,"$81,033,922",32.1%
30,Gulliver's Travels,"$237,382,724","$42,779,261",18%,"$194,603,463",82%
31,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",39.2%,"$137,728,906",60.8%
32,The Social Network,"$224,920,315","$96,962,694",43.1%,"$127,957,621",56.9%
33,Valentine's Day,"$216,485,654","$110,485,654",51%,"$106,000,000",49%
34,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.3%,"$152,132,751",70.7%
35,Due Date,"$211,780,824","$100,539,043",47.5%,"$111,241,781",52.5%
36,Eat Pray Love,"$204,594,016","$80,574,010",39.4%,"$124,020,006",60.6%
37,Yogi Bear,"$203,518,375","$100,246,011",49.3%,"$103,272,364",50.7%
38,RED,"$199,006,387","$90,380,162",45.4%,"$108,626,225",54.6%
39,Paranormal Activity 2,"$177,512,032","$84,752,907",47.7%,"$92,759,125",52.3%
40,The A-Team,"$177,238,796","$77,222,099",43.6%,"$100,016,697",56.4%
41,Jackass 3D,"$171,685,792","$117,229,692",68.3%,"$54,456,100",31.7%
42,The Other Guys,"$170,458,922","$119,219,978",69.9%,"$51,238,944",30.1%
43,Unstoppable,"$167,805,466","$81,562,942",48.6%,"$86,242,524",51.4%
44,Step Up 3D,"$159,291,809","$42,400,223",26.6%,"$116,891,586",73.4%
45,The Book of Eli,"$157,107,755","$94,835,059",60.4%,"$62,272,696",39.6%
46,The Town,"$154,026,136","$92,186,262",59.9%,"$61,839,874",40.1%
47,Date Night,"$152,263,880","$98,711,404",64.8%,"$53,552,476",35.2%
48,The Secret World of Arrietty,"$148,800,274","$19,202,743",12.9%,"$129,597,531",87.1%
49,Legend of the Guardians: The Owls of Ga'Hoole,"$140,073,390","$55,675,313",39.7%,"$84,398,077",60.3%
50,The Wolfman,"$139,789,765","$61,979,680",44.3%,"$77,810,085",55.7%
51,The Bounty Hunter,"$136,333,522","$67,061,228",49.2%,"$69,272,294",50.8%
52,Saw: The Final Chapter,"$136,150,434","$45,710,178",33.6%,"$90,440,256",66.4%
53,Wall Street: Money Never Sleeps,"$134,748,021","$52,474,616",38.9%,"$82,273,405",61.1%
54,The Adjustment Bureau,"$127,869,379","$62,495,645",48.9%,"$65,373,734",51.1%
55,Predators,"$127,233,108","$52,000,688",40.9%,"$75,232,420",59.1%
56,A Nightmare on Elm Street,"$115,694,863","$63,075,011",54.5%,"$52,619,852",45.5%
57,Dear John,"$114,984,666","$80,014,842",69.6%,"$34,969,824",30.4%
58,Cats & Dogs: The Revenge of Kitty Galore,"$112,483,764","$43,585,753",38.7%,"$68,898,011",61.3%
59,Tooth Fairy,"$112,462,508","$60,022,256",53.4%,"$52,440,252",46.6%
60,Sanctum,"$108,609,310","$23,209,310",21.4%,"$85,400,000",78.6%
61,Hereafter,"$106,956,330","$32,746,941",30.6%,"$74,209,389",69.4%
62,Life as We Know It,"$105,734,416","$53,374,681",50.5%,"$52,359,735",49.5%
63,Let the Bullets Fly,"$104,723,314","$63,012",<0.1%,"$104,660,302",99.9%
64,Love & Other Drugs,"$102,820,008","$32,367,005",31.5%,"$70,453,003",68.5%
65,Aftershock,"$100,293,273","$62,962",<0.1%,"$100,230,311",99.9%
66,Killers,"$98,159,963","$47,059,963",47.9%,"$51,100,000",52.1%
67,Kick-Ass,"$96,188,903","$48,071,303",50%,"$48,117,600",50%
68,Nanny McPhee Returns,"$93,251,121","$29,011,215",31.1%,"$64,239,906",68.9%
69,Get Him to the Greek,"$91,720,255","$60,974,475",66.5%,"$30,745,780",33.5%
70,Burlesque,"$89,519,773","$39,440,655",44.1%,"$50,079,118",55.9%
