Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Lord of the Rings: The Return of the King,"$1,140,682,011","$377,027,325",33.1%,"$763,654,686",66.9%
2,Finding Nemo,"$871,014,978","$339,714,978",39%,"$531,300,000",61%
3,The Matrix Reloaded,"$739,412,035","$281,576,461",38.1%,"$457,835,574",61.9%
4,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015","$305,413,918",46.7%,"$348,850,097",53.3%
5,Bruce Almighty,"$484,592,874","$242,829,261",50.1%,"$241,763,613",49.9%
6,The Last Samurai,"$454,627,263","$111,127,263",24.4%,"$343,500,000",75.6%
7,Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",34.7%,"$283,000,000",65.3%
8,The Matrix Revolutions,"$427,343,298","$139,313,948",32.6%,"$288,029,350",67.4%
9,X2: X-Men United,"$407,711,549","$214,949,694",52.7%,"$192,761,855",47.3%
10,Bad Boys II,"$273,339,556","$138,608,444",50.7%,"$134,731,112",49.3%
11,Something's Gotta Give,"$265,328,738","$124,728,738",47%,"$140,600,000",53%
12,Charlie's Angels: Full Throttle,"$259,175,788","$100,830,111",38.9%,"$158,345,677",61.1%
13,The Village,"$256,697,520","$114,197,520",44.5%,"$142,500,000",55.5%
14,Brother Bear,"$250,397,798","$85,336,277",34.1%,"$165,061,521",65.9%
15,Hulk,"$245,285,165","$132,177,234",53.9%,"$113,107,931",46.1%
16,Love Actually,"$244,931,766","$59,696,144",24.4%,"$185,235,622",75.6%
17,2 Fast 2 Furious,"$236,350,661","$127,154,901",53.8%,"$109,195,760",46.2%
18,American Wedding,"$232,722,935","$104,565,114",44.9%,"$128,157,821",55.1%
19,Scary Movie 3,"$220,673,217","$110,003,217",49.8%,"$110,670,000",50.2%
20,Elf,"$220,443,451","$173,398,518",78.7%,"$47,044,933",21.3%
21,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.4%,"$117,694,615",55.6%
22,S.W.A.T.,"$207,725,639","$116,934,650",56.3%,"$90,790,989",43.7%
23,Spy Kids 3-D: Game Over,"$197,011,982","$111,761,982",56.7%,"$85,250,000",43.3%
24,Anger Management,"$195,745,823","$135,645,823",69.3%,"$60,100,000",30.7%
25,Cheaper by the Dozen,"$190,212,113","$138,614,544",72.9%,"$51,597,569",27.1%
26,The Haunted Mansion,"$182,290,266","$75,847,266",41.6%,"$106,443,000",58.4%
27,Kill Bill: Vol. 1,"$180,899,045","$70,099,045",38.8%,"$110,800,000",61.2%
28,The League of Extraordinary Gentlemen,"$179,265,204","$66,465,204",37.1%,"$112,800,000",62.9%
29,Daredevil,"$179,179,718","$102,543,518",57.2%,"$76,636,200",42.8%
30,How to Lose a Guy in 10 Days,"$177,502,387","$105,813,373",59.6%,"$71,689,014",40.4%
